Syntax error at token USING, value 'using'
Syntax error at token CLASSOBJECT, value 'System'
Syntax error at token SEMICOLON, value ';'
Syntax error at token PUBLIC, value 'public'
Syntax error at token CLASS, value 'class'
Syntax error at token CLASSOBJECT, value 'BinarySearch'
Syntax error at token LBRACKET, value '{'
Syntax error at token PUBLIC, value 'public'
Syntax error at token INT, value 'int'
Syntax error at token CLASSOBJECT, value 'Search'
Syntax error at token LPAREN, value '('
Syntax error at token INT, value 'int'
Syntax error at token LSQBRACKET, value '['
Syntax error at token RSQBRACKET, value ']'
Syntax error at token ID, value 'array'
Syntax error at token COMMA, value ','
Syntax error at token INT, value 'int'
Syntax error at token ID, value 'target'
Syntax error at token RPAREN, value ')'
Syntax error at token LBRACKET, value '{'
Syntax error at token INT, value 'int'
Syntax error at token ID, value 'left'
Syntax error at token COMMA, value ','
Syntax error at token ID, value 'right'
Syntax error at token EQUALS, value '='
Syntax error at token ID, value 'array'
Syntax error at token DOT, value '.'
Syntax error at token CLASSOBJECT, value 'Length'
Syntax error at token WHILE, value 'while'
Syntax error at token LPAREN, value '('
Syntax error at token LESS_EQUALS_THAN, value '<='
Syntax error at token ID, value 'right'
Syntax error at token RPAREN, value ')'
Syntax error at token LBRACKET, value '{'
Syntax error at token INT, value 'int'
Syntax error at token ID, value 'mid'
Syntax error at token ID, value 'left'
Syntax error at token PLUS, value '+'
Syntax error at token ID, value 'right'
Syntax error at token MINUS, value '-'
Syntax error at token ID, value 'left'
Syntax error at token RPAREN, value ')'
Syntax error at token DIVIDE, value '/'
Syntax error at token SEMICOLON, value ';'
Syntax error at token IF, value 'if'
Syntax error at token LPAREN, value '('
Syntax error at token ID, value 'array'
Syntax error at token LSQBRACKET, value '['
Syntax error at token ID, value 'mid'
Syntax error at token RSQBRACKET, value ']'
Syntax error at token EQUALS, value '='
Syntax error at token EQUALS, value '='
Syntax error at token ID, value 'target'
Syntax error at token RETURN, value 'return'
Syntax error at token ID, value 'mid'
Syntax error at token IF, value 'if'
Syntax error at token LPAREN, value '('
Syntax error at token LSQBRACKET, value '['
Syntax error at token ID, value 'mid'
Syntax error at token RSQBRACKET, value ']'
Syntax error at token LESS_THAN, value '<'
Syntax error at token ID, value 'target'
Syntax error at token RPAREN, value ')'
Syntax error at token ID, value 'left'
Syntax error at token ID, value 'mid'
Syntax error at token PLUS, value '+'
Syntax error at token ELSE, value 'else'
Syntax error at token ID, value 'mid'
Syntax error at token MINUS, value '-'
Syntax error at token RBRACKET, value '}'
Syntax error at token RETURN, value 'return'
Syntax error at token MINUS, value '-'
Syntax error at token INTEGER_TYPE, value '1'
Syntax error at token SEMICOLON, value ';'
Syntax error at token DIVIDE, value '/'
Syntax error at token DIVIDE, value '/'
Syntax error at token CLASSOBJECT, value 'Elemento'
Syntax error at token ID, value 'encontrado'
Syntax error at token RBRACKET, value '}'
Syntax error at token PUBLIC, value 'public'
Syntax error at token ID, value 'static'
Syntax error at token VOID, value 'void'
Syntax error at token CLASSOBJECT, value 'Main'
Syntax error at token LPAREN, value '('
Syntax error at token RPAREN, value ')'
Syntax error at token LBRACKET, value '{'
Syntax error at token INT, value 'int'
Syntax error at token LSQBRACKET, value '['
Syntax error at token RSQBRACKET, value ']'
Syntax error at token ID, value 'arr'
Syntax error at token LBRACKET, value '{'
Syntax error at token COMMA, value ','
Syntax error at token INTEGER_TYPE, value '3'
Syntax error at token COMMA, value ','
Syntax error at token INTEGER_TYPE, value '5'
Syntax error at token COMMA, value ','
Syntax error at token INTEGER_TYPE, value '7'
Syntax error at token COMMA, value ','
Syntax error at token INTEGER_TYPE, value '9'
Syntax error at token COMMA, value ','
Syntax error at token INTEGER_TYPE, value '11'
Syntax error at token RBRACKET, value '}'
Syntax error at token INT, value 'int'
Syntax error at token INT, value 'int'
Syntax error at token CLASSOBJECT, value 'Search'
Syntax error at token ID, value 'arr'
Syntax error at token COMMA, value ','
Syntax error at token ID, value 'target'
Syntax error at token RPAREN, value ')'
Syntax error at token SEMICOLON, value ';'
Syntax error at token IF, value 'if'
Syntax error at token ID, value 'result'
Syntax error at token NOT, value '!'
Syntax error at token EQUALS, value '='
Syntax error at token MINUS, value '-'
Syntax error at token CLASSOBJECT, value 'Console'
Syntax error at token DOT, value '.'
Syntax error at token CLASSOBJECT, value 'WriteLine'
Syntax error at token LPAREN, value '('
Syntax error at token STRING, value '"Elemento encontrado en el índice "'
Syntax error at token ID, value 'result'
Syntax error at token RPAREN, value ')'
Syntax error at token SEMICOLON, value ';'
Syntax error at token ELSE, value 'else'
Syntax error at token CLASSOBJECT, value 'Console'
Syntax error at token DOT, value '.'
Syntax error at token CLASSOBJECT, value 'WriteLine'
Syntax error at token STRING, value '"Elemento no encontrado"'
Syntax error at token RPAREN, value ')'
Syntax error at token SEMICOLON, value ';'
Syntax error at token RBRACKET, value '}'
Syntax error at token RBRACKET, value '}'
Syntax error at EOF
